index,name,nullable,type,Variable Name,Type,Description
0,permno,TRUE,DOUBLE_PRECISION,PERMNO,double,PERMNO (PERMNO)
1,secinfostartdt,TRUE,DATE,SecInfoStartDt,date,Security Information Start Date (SecInfoStartDt)
2,secinfoenddt,TRUE,DATE,SecInfoEndDt,date,Security Information End Date (SecInfoEndDt)
3,securitybegdt,TRUE,DATE,SecurityBegDt,date,Begin Date of Stock Data (SecurityBegDt)
4,securityenddt,TRUE,DATE,SecurityEndDt,date,End Date of Stock Data (SecurityEndDt)
5,securityhdrflg,TRUE,VARCHAR(1),SecurityHdrFlg,string,Security Header Flag (SecurityHdrFlg)
6,hdrcusip,TRUE,VARCHAR(8),HdrCUSIP,string,Header CUSIP -8 Characters (HdrCUSIP)
7,hdrcusip9,TRUE,VARCHAR(9),HdrCUSIP9,string,Header CUSIP -9 Characters (HdrCUSIP9)
8,cusip,TRUE,VARCHAR(8),CUSIP,string,CUSIP (CUSIP)
9,cusip9,TRUE,VARCHAR(9),CUSIP9,string,CUSIP9 (CUSIP9)
10,primaryexch,TRUE,VARCHAR(1),PrimaryExch,string,Primary Exchange (PrimaryExch)
11,conditionaltype,TRUE,VARCHAR(3),ConditionalType,string,Conditional Type (ConditionalType)
12,exchangetier,TRUE,VARCHAR(3),ExchangeTier,string,Exchange Tier (ExchangeTier)
13,tradingstatusflg,TRUE,VARCHAR(1),TradingStatusFlg,string,Trading Status Flag (TradingStatusFlg)
14,securitynm,TRUE,VARCHAR(60),SecurityNm,string,Security Name (SecurityNm)
15,shareclass,TRUE,VARCHAR(1),ShareClass,string,Share Class (ShareClass)
16,usincflg,TRUE,VARCHAR(1),USIncFlg,string,US Incorporation Flag (USIncFlg)
17,issuertype,TRUE,VARCHAR(4),IssuerType,string,Issuer Type (IssuerType)
18,securitytype,TRUE,VARCHAR(4),SecurityType,string,Security Type (SecurityType)
19,securitysubtype,TRUE,VARCHAR(3),SecuritySubType,string,Security Sub-Type (SecuritySubType)
20,sharetype,TRUE,VARCHAR(3),ShareType,string,Share Type (ShareType)
